Frequent 0-itemsets:
itemset (occurrence)
{} (100000)
Frequent 1-itemsets:
itemset (occurrence)
842 (752)
518 (759)
187 (759)
938 (766)
533 (772)
544 (773)
690 (778)
298 (778)
212 (778)
633 (780)
252 (781)
215 (781)
241 (784)
406 (785)
256 (785)
759 (788)
505 (791)
762 (792)
595 (797)
732 (799)
345 (801)
456 (804)
304 (805)
318 (812)
18 (813)
590 (814)
474 (815)
114 (816)
689 (817)
943 (821)
622 (826)
80 (826)
723 (829)
642 (830)
801 (835)
659 (835)
830 (841)
95 (841)
712 (845)
314 (846)
464 (848)
969 (849)
831 (852)
839 (854)
585 (856)
203 (861)
447 (863)
879 (865)
858 (866)
626 (874)
415 (877)
158 (884)
347 (885)
268 (885)
705 (888)
481 (888)
66 (888)
629 (893)
980 (899)
352 (902)
44 (903)
745 (909)
624 (915)
118 (916)
224 (919)
193 (925)
640 (932)
388 (938)
855 (939)
108 (940)
785 (947)
507 (950)
838 (953)
742 (953)
568 (956)
558 (957)
355 (958)
329 (964)
484 (971)
417 (971)
96 (975)
277 (982)
432 (985)
160 (987)
922 (990)
395 (990)
7 (997)
608 (999)
912 (1009)
511 (1015)
428 (1021)
325 (1022)
266 (1022)
201 (1029)
823 (1031)
366 (1031)
928 (1034)
258 (1036)
429 (1037)
710 (1044)
546 (1050)
563 (1065)
490 (1066)
632 (1070)
336 (1071)
126 (1075)
173 (1080)
122 (1081)
468 (1089)
708 (1090)
790 (1094)
5 (1094)
171 (1097)
105 (1100)
628 (1102)
567 (1102)
361 (1104)
554 (1114)
992 (1116)
458 (1124)
941 (1126)
688 (1132)
157 (1140)
978 (1141)
733 (1141)
357 (1142)
394 (1145)
948 (1149)
378 (1149)
377 (1149)
322 (1154)
104 (1158)
414 (1160)
988 (1164)
900 (1165)
515 (1166)
111 (1171)
527 (1185)
600 (1192)
716 (1199)
517 (1201)
94 (1201)
550 (1203)
170 (1203)
207 (1214)
843 (1222)
348 (1226)
573 (1229)
197 (1230)
181 (1235)
718 (1238)
591 (1241)
859 (1242)
37 (1249)
899 (1252)
860 (1255)
422 (1255)
163 (1256)
819 (1257)
784 (1257)
309 (1262)
530 (1263)
810 (1267)
991 (1268)
701 (1283)
513 (1287)
125 (1287)
651 (1288)
989 (1289)
578 (1290)
649 (1292)
540 (1293)
504 (1296)
665 (1297)
574 (1297)
792 (1306)
804 (1315)
963 (1327)
678 (1329)
749 (1330)
58 (1330)
618 (1337)
576 (1337)
335 (1345)
946 (1350)
10 (1351)
41 (1353)
707 (1354)
815 (1358)
265 (1359)
448 (1370)
319 (1371)
834 (1373)
147 (1383)
583 (1389)
310 (1390)
4 (1394)
25 (1395)
240 (1399)
308 (1402)
423 (1412)
949 (1414)
234 (1416)
143 (1417)
496 (1428)
890 (1437)
906 (1444)
611 (1444)
500 (1444)
294 (1445)
154 (1447)
424 (1448)
162 (1450)
28 (1454)
33 (1460)
198 (1461)
950 (1463)
97 (1466)
736 (1470)
820 (1473)
846 (1480)
208 (1483)
326 (1488)
641 (1494)
686 (1495)
461 (1498)
469 (1502)
594 (1516)
964 (1518)
812 (1518)
995 (1521)
259 (1522)
630 (1523)
405 (1525)
185 (1529)
867 (1530)
534 (1531)
1 (1535)
168 (1538)
981 (1542)
516 (1544)
486 (1547)
129 (1547)
85 (1555)
639 (1572)
952 (1574)
521 (1582)
857 (1588)
572 (1589)
343 (1599)
68 (1601)
51 (1612)
769 (1622)
740 (1632)
673 (1635)
982 (1640)
351 (1641)
884 (1645)
605 (1652)
31 (1666)
